SKU,SupplierID,Barcode
999-vyk-317,1,z2783613083817
999-vyk-317,1,n7405223693844
999-vyk-317,1,c7417468772846
999-vyk-317,1,w3744746803743
999-vyk-317,1,w2572813758673
999-vyk-317,1,s7013910076253
999-vyk-317,1,m1161615509466
999-oad-768,2,p2359014924610
999-oad-768,2,a7802303764525
999-oad-768,2,o5194275040472
999-oad-768,2,j9023946968130
999-oad-768,2,x5678105140949
999-oad-768,2,c9083052423045
999-oad-768,2,f4322915485228
999-oad-768,2,i0471865670980
999-oad-768,2,b4381274928349
165-rcy-650,3,u5160747892301
165-rcy-650,3,m8967092785598
165-rcy-650,3,l7342139757479
165-rcy-650,3,p1667270888414
165-rcy-650,3,v0874763455559
165-rcy-650,3,p9774916416859
165-rcy-650,3,c4858834209466
165-rcy-650,3,x7331732444187
165-rcy-650,3,u7720008047675
165-rcy-650,3,i2431892662423
165-rcy-650,3,o1336108796249
165-rcy-650,3,w7839803663600
999-eol-949,4,x6971219877032
999-eol-949,4,x7340270328026
999-eol-949,4,x0126648261918
999-eol-949,4,x9858014383660
999-eol-949,4,x2338856941909
999-eol-949,4,x5056026479965
999-eol-949,4,x7425424390056
999-eol-949,4,x0864219864945
999-eol-949,4,x1257743939800
999-eol-949,4,x0880467790155
999-eol-949,4,x4469253605532
999-eol-949,4,x0891358702681
999-epd-782,5,b8954999835177
999-epd-782,5,b2381485695273
999-epd-782,5,b0588794459804
999-epd-782,5,b8710606253394
999-epd-782,5,b5184937926186
999-epd-782,5,b4059282550570
999-epd-782,5,b3213966445562
999-epd-782,5,b3343396882074
999-vyk-317,0,lookatthu
